"Year","Election Date","Election Type","Votes Cast","Electoral District","Number of Candidates","Registered Voters","Voter Turnout","Rejected Ballots","Unmarked Ballots","Declined Ballots","Valid Ballots",
"2018","June 07, 2018","General Election","48860","001 - Ajax","7","90206","49281","99","152","170","48860",
"2018","June 07, 2018","General Election","29211","002 - Algoma—Manitoulin","6","55544","29481","114","65","91","29211",
"2018","June 07, 2018","General Election","44998","003 - Aurora—Oak Ridges—Richmond Hill","9","81979","45444","105","209","132","44998",
"2018","June 07, 2018","General Election","44272","004 - Barrie—Innisfil","8","82557","44806","121","143","270","44272",
"2018","June 07, 2018","General Election","45689","005 - Barrie—Springwater—Oro-Medonte","8","80951","46186","68","140","289","45689",
"2018","June 07, 2018","General Election","50442","006 - Bay of Quinte","7","90324","50996","116","151","287","50442",
"2018","June 07, 2018","General Election","49914","007 - Beaches—East York","11","82386","50384","128","193","149","49914",
"2018","June 07, 2018","General Election","33598","008 - Brampton Centre","7","67432","33949","112","150","89","33598",
"2018","June 07, 2018","General Election","38495","009 - Brampton East","6","75002","38751","106","124","26","38495",
"2018","June 07, 2018","General Election","39624","010 - Brampton North","5","77609","40031","85","204","118","39624",
"2018","June 07, 2018","General Election","38169","011 - Brampton South","7","77279","38598","100","201","128","38169",
"2018","June 07, 2018","General Election","37961","012 - Brampton West","6","80196","38229","99","112","57","37961",
"2018","June 07, 2018","General Election","58188","013 - Brantford—Brant","9","102861","58805","155","203","259","58188",
"2018","June 07, 2018","General Election","49128","014 - Bruce—Grey—Owen Sound","8","85044","49655","140","190","197","49128",
"2018","June 07, 2018","General Election","63055","015 - Burlington","7","100455","63737","155","251","276","63055",
"2018","June 07, 2018","General Election","48131","016 - Cambridge","5","88380","48762","123","185","323","48131",
"2018","June 07, 2018","General Election","50258","017 - Carleton","9","81901","50779","128","217","176","50258",
"2018","June 07, 2018","General Election","46373","018 - Chatham-Kent—Leamington","5","82799","47020","176","238","233","46373",
"2018","June 07, 2018","General Election","45819","019 - Davenport","9","82924","46289","159","228","83","45819",
"2018","June 07, 2018","General Election","36217","020 - Don Valley East","6","66192","36554","107","159","71","36217",
"2018","June 07, 2018","General Election","40607","021 - Don Valley North","6","76211","41010","135","166","102","40607",
"2018","June 07, 2018","General Election","45777","022 - Don Valley West","6","75391","46192","78","170","167","45777",
"2018","June 07, 2018","General Election","55956","023 - Dufferin—Caledon","7","99913","56518","128","256","178","55956",
"2018","June 07, 2018","General Election","60807","024 - Durham","5","102471","61416","93","175","341","60807",
"2018","June 07, 2018","General Election","49527","025 - Eglinton—Lawrence","6","83202","50011","168","167","149","49527",
"2018","June 07, 2018","General Election","52767","026 - Elgin—Middlesex—London","7","89636","53291","113","160","251","52767",
"2018","June 07, 2018","General Election","54503","027 - Essex","4","97773","54866","80","147","136","54503",
"2018","June 07, 2018","General Election","56825","028 - Etobicoke Centre","7","92715","57398","230","195","148","56825",
"2018","June 07, 2018","General Election","58993","029 - Etobicoke—Lakeshore","6","101606","59547","140","215","199","58993",
"2018","June 07, 2018","General Election","36306","030 - Etobicoke North","5","72580","36713","155","208","44","36306",
"2018","June 07, 2018","General Election","51588","031 - Flamborough—Glanbrook","7","86027","52119","113","205","213","51588",
"2018","June 07, 2018","General Election","48690","032 - Glengarry—Prescott—Russell","6","89035","49341","329","252","70","48690",
"2018","June 07, 2018","General Election","64577","033 - Guelph","8","106481","65082","139","170","196","64577",
"2018","June 07, 2018","General Election","50593","034 - Haldimand—Norfolk","9","86342","51117","86","170","268","50593",
"2018","June 07, 2018","General Election","57143","035 - Haliburton—Kawartha Lakes—Brock","7","96832","57769","133","216","277","57143",
"2018","June 07, 2018","General Election","36575","036 - Hamilton Centre","8","75672","37011","98","181","157","36575",
